-----,-----------,-----------,--------------,,,,,,,
Info," ""PathFollower""",6.888053," ""Velocities (left; right):0.1972504703110541; 0.20274952968894594""",,,,,,-0.01,0.96
Info," ""Default""",6.892107," ""POS: (0.0; 0.01""",,,,,,-0.01,0.97
Info," ""Default""",6.893144," ""/ GYRO: -0.3""",,,,,,-0.01,0.97
Info," ""Default""",6.895141," ""| Encoders left right: 0.01"," 0.03""",,,,,-0.01,0.98
Info," ""Default""",6.897515," ""Left Vel0.2""",,,,,,-0.01,0.98
Info," ""Default""",6.898723," ""Right Vel0.2""",,,,,,-0.01,0.99
Info," ""Default""",6.899219," ""_____________________________________",,,,,,-0.01,0.99
"
Info, PathFollower""",6.91906," ""ONPATH = true""",,,,,,,-0.01,1
Info," ""PathFollower""",6.92353," ""found closest waypoint:0.0; 0.02 | 0.2""",,,,,,-0.01,1.01
Info," ""PathFollower""",6.927058," ""LookaheadPoint:0.0; 0.63""",,,,,,-0.01,1.01
Info," ""PathFollower""",6.92786," ""Curvature:-0.028256696264584005""",,,,,,-0.01,1.02
Info," ""PathFollower""",6.928785," ""Velocities (left; right):0.1971743303735416; 0.20282566962645843""",,,,,,-0.01,1.02
Info," ""Default""",6.932679," ""POS: (0.0; 0.02""",,,,,,-0.01,1.03
Info," ""Default""",6.934745," ""/ GYRO: -0.27""",,,,,,-0.01,1.03
Info," ""Default""",6.937998," ""| Encoders left right: 0.03"," 0.04""",,,,,-0.01,1.04
Info," ""Default""",6.94012," ""Left Vel0.2""",,,,,,-0.01,1.04
Info," ""Default""",6.941212," ""Right Vel0.2""",,,,,,-0.01,1.05
Info," ""Default""",6.941682," ""_____________________________________",,,,,,-0.01,1.06
"
Info, PathFollower""",6.945091," ""ONPATH = true""",,,,,,,-0.01,1.06
Info," ""PathFollower""",6.947377," ""found closest waypoint:0.0; 0.03 | 0.2""",,,,,,-0.01,1.07
Info," ""PathFollower""",6.951209," ""LookaheadPoint:0.0; 0.64""",,,,,,-0.01,1.07
Info," ""PathFollower""",6.952043," ""Curvature:-0.02906798033212237""",,,,,,-0.01,1.08
Info," ""PathFollower""",6.953187," ""Velocities (left; right):0.19709320196678778; 0.20290679803321227""",,,,,,-0.01,1.09
Info," ""Default""",6.957022," ""POS: (0.0; 0.03""",,,,,,-0.01,1.1
Info," ""Default""",6.957901," ""/ GYRO: -0.28""",,,,,,-0.01,1.1
Info," ""Default""",6.960209," ""| Encoders left right: 0.03"," 0.04""",,,,,-0.01,1.11
Info," ""Default""",6.962678," ""Left Vel0.2""",,,,,,-0.01,1.11
Info," ""Default""",6.963789," ""Right Vel0.2""",,,,,,-0.01,1.12
Info," ""Default""",6.964261," ""_____________________________________",,,,,,-0.02,1.15
"
Info, PathFollower""",6.973824," ""ONPATH = true""",,,,,,,-0.02,1.16
Info," ""PathFollower""",6.977259," ""found closest waypoint:0.0; 0.04 | 0.2""",,,,,,-0.02,1.17
Info," ""PathFollower""",6.983223," ""LookaheadPoint:0.0; 0.65""",,,,,,-0.02,1.18
Info," ""PathFollower""",6.984696," ""Curvature:-0.03158341796440854""",,,,,,-0.02,1.2
Info," ""PathFollower""",6.985909," ""Velocities (left; right):0.19684165820355914; 0.20315834179644085""",,,,,,-0.02,1.21
Info," ""Default""",6.99003," ""POS: (0.0; 0.04""",,,,,,-0.02,1.21
Info," ""Default""",6.990895," ""/ GYRO: -0.31""",,,,,,-0.02,1.22
Info," ""Default""",6.993022," ""| Encoders left right: 0.04"," 0.06""",,,,,-0.02,1.23
Info," ""Default""",6.997558," ""Left Vel0.2""",,,,,,-0.02,1.24
Info," ""Default""",6.999727," ""Right Vel0.2""",,,,,,-0.02,1.26
Info," ""Default""",7.000582," ""_____________________________________",,,,,,-0.02,1.28
"
Info, PathFollower""",7.007464," ""ONPATH = true""",,,,,,,-0.02,1.28
Info," ""PathFollower""",7.011845," ""found closest waypoint:0.0; 0.05 | 0.2""",,,,,,-0.02,1.29
Info," ""PathFollower""",7.024838," ""LookaheadPoint:0.0; 0.66""",,,,,,-0.02,1.29
Info," ""PathFollower""",7.026562," ""Curvature:-0.03248878324444193""",,,,,,-0.02,1.3
Info," ""PathFollower""",7.029315," ""Velocities (left; right):0.1967511216755558; 0.20324887832444422""",,,,,,-0.03,1.3
Info," ""Default""",7.043037," ""POS: (0.0; 0.05""",,,,,,-0.03,1.31
Info," ""Default""",7.044762," ""/ GYRO: -0.33""",,,,,,-0.03,1.31
Info," ""Default""",7.048291," ""| Encoders left right: 0.06"," 0.08""",,,,,-0.03,1.32
Info," ""Default""",7.05655," ""Left Vel0.2""",,,,,,-0.03,1.32
Info," ""Default""",7.061111," ""Right Vel0.2""",,,,,,-0.03,1.33
Info," ""Default""",7.061912," ""_____________________________________",,,,,,-0.03,1.33
"
Info, PathFollower""",7.066791," ""ONPATH = true""",,,,,,,-0.03,1.34
Info," ""PathFollower""",7.070855," ""found closest waypoint:0.0; 0.08 | 0.2""",,,,,,-0.03,1.34
Info," ""PathFollower""",7.077368," ""LookaheadPoint:0.0; 0.69""",,,,,,-0.03,1.35
Info," ""PathFollower""",7.079258," ""Curvature:-0.032617725949043476""",,,,,,-0.03,1.35
Info," ""PathFollower""",7.08157," ""Velocities (left; right):0.19673822740509567; 0.20326177259490438""",,,,,,-0.03,1.36
Info," ""Default""",7.088128," ""POS: (0.0; 0.08""",,,,,,-0.03,1.36
Info," ""Default""",7.08966," ""/ GYRO: -0.35""",,,,,,-0.03,1.37
Info," ""Default""",7.092829," ""| Encoders left right: 0.08"," 0.1""",,,,,-0.03,1.37
Info," ""Default""",7.097483," ""Left Vel0.2""",,,,,,-0.03,1.38
Info," ""Default""",7.099243," ""Right Vel0.2""",,,,,,-0.04,1.38
Info," ""Default""",7.100023," ""_____________________________________",,,,,,-0.04,1.39
"
Info, PathFollower""",7.105308," ""ONPATH = true""",,,,,,,-0.04,1.39
Info," ""PathFollower""",7.109337," ""found closest waypoint:0.0; 0.1 | 0.2""",,,,,,-0.04,1.4
Info," ""PathFollower""",7.113698," ""LookaheadPoint:0.0; 0.7""",,,,,,-0.04,1.4
Info," ""PathFollower""",7.115072," ""Curvature:-0.03587827356102131""",,,,,,-0.04,1.41
Info," ""PathFollower""",7.118457," ""Velocities (left; right):0.19641217264389788; 0.20358782735610215""",,,,,,-0.04,1.41
Info," ""Default""",7.124235," ""POS: (0.0; 0.1""",,,,,,-0.04,1.43
Info," ""Default""",7.126447," ""/ GYRO: -0.37""",,,,,,-0.05,1.44
